id,name,shortName,type,rarity,negative,menuProcessing,description,shortDescription,exclusions,iconDescription,effectDescription,targetIconDescription,longDescription,skipCharacters,shortDesciption,targetEffectDescription,effectName,category,param,possible_match
snowdrift,Snow Drift,Snow Drift,-,-,-,-,"[""Living snow changes forms at certain times.""]",-,-,"{""focus_up"": ""Focus increased."", ""speed_up"": ""Speed increased."", ""endurance_up"": ""Endurance increased.""}",-,-,-,-,-,-,-,,-,-
greenpollen,Green Pollen,Grn Pollen,-,-,-,-,"[""Take 15% of current HP as SkillType.Poison damage every turn. Spreads to another ally or enemy every turn.""]",-,-,"{""hp_regen"": ""Restore some HP after every turn. Spreads to another ally or enemy every turn.""}",-,-,"Enemies take 15% of current HP as SkillType.Poison damage every turn, but allies are healed. Spreads to another ally or enemy every turn.",-,-,-,-,,-,-
brawlersheart,Brawler's Heart,Brawler Heart,-,-,-,-,"[""Toughness and SkillType.Healing received increased by 50% when at critical HP.""]",Toughness and SkillType.Healing received increased by 50% when at critical HP.,-,"{""toughness_up"": ""Toughness increased."", ""heal_up"": ""Increased healing received.""}",-,-,-,-,-,-,-,,[0.5;1.5],relic:BrawlersHeart
snowplow,Snow Plow,Snow Plow,-,-,-,-,"[""Deals 0.6x Power SkillType.Physical and 0.6x Focus SkillType.Ice damage and sends target to the back row.""]",-,-,"{""agility_zero"": ""Agility reduced to zero."", ""interrupt"": ""Cannot act.""}",-,-,-,-,-,-,-,,-,-
coffee,Coffee,Coffee,-,-,-,-,"[""Resets target's sleep counter, and nullifies SkillType.Sleep damage taken by target for 3 turns.""]",Resets target sleep counter. Nullifies SkillType.Sleep damage taken for 3 turns.,-,"{""nullify_sleep"": ""Taken SkillType.Sleep damage is nullified.""}",-,-,-,-,-,-,-,,-,-
lydiasankh,Lydia's Ankh,Lydia's Ankh,-,-,-,-,"[""Healing allies increases your Discipline by 20% of the healing done, up to +150. Grants Renewal skill.""]",Healing allies increases your Discipline. Grants Renewal skill.,-,"{""discipline_up"": ""Discipline increased.""}",-,-,-,-,-,-,-,,-,relic:LydiasAnkh
mercilessmechs,Merciless Mechs,MeanMechs,party,0,true,-,Mechanical enemies gain Merciless trait: Deal 50% increased damage against critical HP enemies.,Mechanical enemies gain Merciless trait.,-,-,-,-,-,-,-,-,-,,-,-
bluntedammo,Blunted Ammo,Blunt Ammo,party,1,true,-,Allies suffer 50% decreased critical hit chance with SkillType.Ranged skills.,Decrease critical hit chance with SkillType.Ranged skills.,"[""SharpAmmo""]",-,-,-,-,-,-,-,-,,-,-
sychronize,Sychronize,Sync,-,-,-,-,"[""All allies' turn progress are advanced to 100%. 4 turn charge, long turn delay."", ""Allies are healed for 2x Focus HP"", ""Keekuko's SPD is increased by +15. Stacks.""]",-,-,"{""speed_up"": ""Speed increased.""}",-,-,-,-,-,-,-,,-,-
herbiculture,Herbiculture,Herbiculture,party,0,true,-,Cultist enemies gain Vine Armor trait: Increases Toughness by 50% of Focus.,Cultist enemies gain Vine Armor trait.,-,-,-,-,-,-,-,-,-,,-,-
