class_id,class_name,character_name,source_act,pow,foc,spd,tgh,dsc,agi,end,wis,tec,hp_override,mp_override,sprite_path,data_version
genius,Physicist,Claire,Start,70,101,81,81,111,81,81,131,81,,,assets/class/genius_sprite.png,0.9.2
genius_tank,Armor,Claire,Start,111,50,70,142,81,70,162,50,81,,,assets/class/genius_tank_sprite.png,0.9.2
genius_scavenger,Scavenger,Claire,Post Prologue,111,131,111,81,50,101,70,50,111,,,assets/class/genius_scavenger_sprite.png,0.9.2
genius_frozen,Frozen,Claire,Post Act 1,81,131,50,131,111,50,81,70,111,,,assets/class/genius_frozen_sprite.png,0.9.2
genius_inscriber,Inscriber,Claire,Post Act 2,40,162,50,50,142,40,70,162,111,,,assets/class/genius_inscriber_sprite.png,0.9.2
genius_occultist,Occultist,Claire,Post Act 3,131,142,70,70,142,40,81,81,111,,,assets/class/genius_occultist_sprite.png,0.9.2
genius_hacker,Hacker,Claire,Post Act 4,81,101,111,70,111,111,81,81,70,,,assets/class/genius_hacker_sprite.png,0.9.2
wrestler,Wrestler,Zeke,Start,131,40,101,131,70,70,131,70,101,,,assets/class/wrestler_sprite.png,0.9.2
monk,Monk,Wensho,Start,101,81,101,70,81,131,101,81,101,,,assets/class/monk_sprite.png,0.9.2
knight,Knight,Leon,Start,131,70,50,142,81,70,111,40,131,,,assets/class/knight_sprite.png,0.9.2
ranger,Ranger,Iana,Start,101,70,101,70,101,101,70,70,162,,,assets/class/ranger_sprite.png,0.9.2
fire_mage,Fire Mage,Zane,Start,40,223,101,40,101,40,40,162,101,,,assets/class/fire_mage_sprite.png,0.9.2
priestess,Priestess,Lydia,Start,40,101,131,40,192,70,70,162,40,,,assets/class/priestess_sprite.png,0.9.2
assassin,Assassin,Yukiko,Act 1,81,50,142,40,81,131,50,70,162,,,assets/class/assassin_sprite.png,0.9.2
biker,Biker,Big Dan,Act 1,131,50,81,162,81,70,131,50,70,,,assets/class/biker_sprite.png,0.9.2
blacksmith,Blacksmith,Maximus,Act 1,101,111,50,111,81,50,131,50,111,,,assets/class/blacksmith_sprite.png,0.9.2
immortal,Immortal,Javed,Act 1,101,70,50,131,70,111,101,70,131,,,assets/class/immortal_sprite.png,0.9.2
jackal,Jackal Priest,Amenemhet,Act 1,50,111,81,70,111,70,81,162,81,,,assets/class/jackal_sprite.png,0.9.2
lawbringer,Lawbringer,Samuel,Act 1,111,50,111,101,70,81,101,70,131,,,assets/class/lawbringer_sprite.png,0.9.2
lizardman,Lizardman,Seth,Act 1,131,50,111,111,70,111,131,40,81,,,assets/class/lizardman_sprite.png,0.9.2
