Name,Class,Availability,Derived Stats,,,,,Base Stats,,,,,,,,,,
,,,HP,MP,TGH%,DSC%,ELE%,POW,FOC,SPD,TGH,DSC,AGI,END,WIS,TEC,BST,VER
Claire,Physicist,Start,695,529,40%,51%,46%,70,101,81,81,111,81,81,131,81,818,0.6.14
Claire,Armor,Start,1225,205,60%,40%,50%,111,50,70,142,81,70,162,50,81,817,0.6.14
Claire,Scavenger,Post Prologue,623,205,40%,27%,34%,111,131,111,81,50,101,70,50,111,816,0.6.14
Claire,Frozen,Post Act 1,695,285,57%,51%,54%,81,131,50,131,111,50,81,70,111,816,0.6.14
Claire,Inscriber,Post Act 2,623,653,27%,60%,44%,40,162,50,50,142,40,70,162,111,827,0.6.14
Claire,Occultist,Post Act 3,695,329,36%,60%,48%,131,142,70,70,142,40,81,81,111,868,0.6.14
Claire,Hacker,Post Act 4,695,329,36%,51%,44%,81,101,111,70,111,111,81,81,70,817,0.6.14
Zeke ,Wrestler,Start,1022,285,57%,36%,47%,131,40,101,131,70,70,131,70,101,845,0.6.14
Wensho ,Monk,Start,825,329,36%,40%,38%,101,81,101,70,81,131,101,81,101,848,0.6.14
Leon ,Knight,Start,891,165,60%,40%,50%,131,70,50,142,81,70,111,50,131,836,0.6.14
Iana ,Ranger,Start,623,285,36%,48%,42%,101,70,101,70,101,101,70,70,162,846,0.6.14
Zane ,Fire Mage,Start,426,653,22%,48%,35%,40,223,101,40,101,40,40,162,101,848,0.6.14
Lydia ,Priestess,Start,623,653,22%,71%,47%,40,101,131,40,192,70,70,162,40,846,0.6.14
Yukiko ,Assassin,Act 1,492,285,22%,40%,31%,81,50,142,40,81,131,50,70,162,807,0.6.14
Big Dan ,Biker,Act 1,1022,205,65%,40%,53%,131,50,81,162,81,70,131,50,70,826,0.6.14
Maximus ,Blacksmith,Act 1,1022,205,51%,40%,46%,101,111,50,111,81,50,131,50,111,796,0.6.14
Javed ,Immortal,Act 1,825,285,57%,36%,47%,101,70,50,131,70,111,101,70,131,835,0.6.14
Amenemhet ,Jackal Priest,Act 1,695,653,36%,51%,44%,50,111,81,70,111,70,81,162,81,817,0.6.14
Samuel ,Lawbringer,Act 1,825,285,48%,36%,42%,111,50,111,101,70,81,101,70,131,826,0.6.14
Seth ,Lizardman,Act 1,1022,165,51%,36%,44%,131,50,111,111,70,111,131,40,81,836,0.6.14
Darius ,Marine,Act 1,492,205,36%,51%,44%,131,70,70,70,111,111,50,50,162,825,0.6.14
Harry ,Medic,Act 1,695,329,48%,48%,48%,101,81,101,101,101,111,81,81,70,828,0.6.14
Jack ,Pirate,Act 1,695,409,51%,27%,39%,101,50,101,111,50,111,81,101,111,817,0.6.14
Ambroise ,Plague Doctor,Act 1,825,285,40%,65%,53%,20,111,50,81,162,40,101,70,111,746,0.6.14
Buzzard ,Raider,Act 1,825,205,57%,27%,42%,111,50,111,131,50,101,101,50,111,816,0.6.14
Slade ,Rocker,Act 1,695,165,48%,27%,38%,101,81,131,101,50,111,81,40,131,827,0.6.14
Rafael ,Sentinel,Act 1,1022,205,57%,65%,61%,101,101,40,131,162,50,131,50,70,836,0.6.14
Carlos ,Super Soldier,Act 1,1022,165,60%,36%,48%,131,40,131,142,70,101,131,40,101,887,0.6.14
Paul ,Linebacker,Post Act 1,1022,165,60%,40%,50%,131,40,111,142,81,70,131,40,81,827,0.6.14
Chuckles ,Clown,Post Act 1,623,409,40%,51%,46%,40,111,70,81,111,142,70,101,101,827,0.6.14
Cain ,Maelstrom,Post Act 1,623,132,27%,51%,39%,40,131,131,50,111,81,70,131,101,846,0.6.14
Kiara ,Banshee,Act 2,492,653,27%,57%,42%,40,131,111,50,131,81,50,162,70,826,0.6.14
Odrak ,Barbarian,Act 2,1421,165,57%,36%,47%,162,40,70,131,70,50,192,40,81,836,0.6.14
Og ,Caveman,Act 2,1323,85,65%,48%,57%,162,20,70,162,101,70,142,20,101,848,0.6.14
Brand ,Cleric,Act 2,825,285,57%,57%,57%,101,101,101,131,131,40,101,70,70,846,0.6.14
Drex ,Cursed,Act 2,1022,300,57%,27%,42%,142,40,111,131,50,101,131,40,81,827,0.6.14
Caleb ,Dark Knight,Act 2,695,409,60%,51%,56%,111,131,40,142,111,40,81,101,70,827,0.6.14
George ,General,Act 2,623,653,40%,48%,44%,50,50,70,81,101,40,70,162,131,755,0.6.14
Elgeon ,Ice Mage,Act 2,426,817,36%,67%,52%,20,192,40,70,172,20,40,203,101,858,0.6.14
MU-21 ,Med Bot,Act 2,623,329,40%,40%,40%,20,284,131,81,81,40,70,81,40,828,0.6.14
Sovras ,Necromancer,Act 2,623,653,40%,65%,53%,20,111,70,81,162,101,70,162,50,827,0.6.14
Ishikawa ,Ninja,Act 2,623,205,22%,40%,31%,111,81,131,40,81,162,70,50,101,827,0.6.14
Jed ,Pioneer,Act 2,825,165,57%,36%,47%,101,70,101,131,70,101,101,40,131,846,0.6.14
Korr ,Sasquatch,Act 2,1421,205,65%,40%,53%,223,20,50,162,81,50,192,50,70,898,0.6.14
Thorg ,Viking,Act 2,891,165,51%,27%,39%,131,81,81,111,50,70,111,40,111,786,0.6.14
Vikki ,Vul,Act 2,623,329,36%,40%,38%,70,70,131,70,81,142,70,81,111,826,0.6.14
Asariel ,Angel,Post Act 2,623,529,36%,48%,42%,70,101,101,70,101,101,70,131,101,846,0.6.14
Curtis ,Boxer,Post Act 2,825,165,48%,36%,42%,162,40,131,101,70,101,101,40,101,847,0.6.14
Ralf ,Jester,Post Act 2,492,285,27%,36%,32%,101,50,162,50,70,162,50,70,111,826,0.6.14
Krethik ,Lich,Post Act 2,426,653,27%,57%,42%,20,192,50,50,131,50,40,162,131,826,0.6.14
Seb ,Bard,Act 3,426,409,27%,48%,38%,40,81,70,50,101,81,40,101,192,756,0.6.14
Selyse ,Druid,Act 3,426,773,22%,60%,41%,40,172,70,40,142,40,40,192,101,837,0.6.14
Valeriya ,Dryad,Act 3,623,529,36%,57%,47%,40,131,101,70,131,81,70,131,81,836,0.6.14
Alexandre ,Musketeer,Act 3,825,165,51%,36%,44%,101,70,111,111,70,101,101,40,131,836,0.6.14
William ,Paladin,Act 3,623,329,60%,57%,59%,142,131,40,142,131,40,70,81,70,847,0.6.14
Xorkzi ,Pursuer,Act 3,492,285,22%,40%,31%,81,50,142,40,81,131,50,70,162,807,0.6.14
Kenjiro ,Samurai,Act 3,695,409,48%,51%,50%,111,70,70,101,111,50,81,101,131,826,0.6.14
Lucien ,Shaman,Act 3,623,653,36%,65%,51%,40,131,101,70,162,70,70,162,40,846,0.6.14
Raidne ,Siren,Act 3,492,529,22%,48%,35%,20,131,111,40,101,111,50,131,131,826,0.6.14
Gabrielle ,Spellblade,Act 3,825,329,40%,48%,44%,81,111,101,81,101,70,101,81,111,838,0.6.14
Abraham ,Vampire Hunter,Act 3,623,329,40%,40%,40%,101,71,81,81,81,81,81,81,162,820,0.6.14
Minerva ,Witch,Act 3,426,773,22%,65%,44%,40,192,70,40,162,70,40,192,40,846,0.6.14
Michael ,Woodsman,Act 3,891,165,65%,22%,44%,142,40,81,162,40,101,111,40,111,828,0.6.14
