skill_id,name,multiplier,scaling_stat,element,target,uses,level_1,level_2,level_3
absorb,Absorb,,,,,,"Absorbs an adjacent ally and gains 100% of their Endurance, Toughness, Power, and HP.",,
absorbsoul,Absorb Soul,0.75,Focus,Dark,single enemy,,"Deals 0.75x Focus SkillType.Dark damage to target, heals the caster, gives self a focus bonus, and reduces target's healing received.",,
annihilate,Annihilate,1,Power,Energy,,,Deals 1x Power SkillType.Energy damage and increases speed and power.,,
barricade,Barricade,,,,,,"Randomly taunt 3 enemies and nullify up to 8 hits until next turn, reflecting SkillType.Physical damage back to melee attackers. 2 turn charge.",,
belch,Belch,1,Focus,Poison,,,"Deals 1x Focus SkillType.Poison damage, damage over time, and decreases TGH by 25%. Stacks.",,
bigslam,Big Slam,,,,single enemy,,"Deals SkillType.Physical and SkillType.Stun damage. Pulls an enemy into its body, where it takes SkillType.Poison damage over time until it is digested or broken out.",,
blazingslam,Blazing Slam,,,,single enemy,,"Deals SkillType.Fire damage. Pulls an enemy into its body, where it takes SkillType.Poison damage over time until it is digested or broken out.",,
bloodsuck,Bloodsuck,1.0,Power,Physical,,,"Deals 1.0x Power SkillType.Physical damage, restores HP based on damage dealt, causes bleeding, and decreases target's Healing received by 50%.",,
boast,Boast,,,,,,Increase Speed and Focus by 15% and taunt the enemy front row.,,
brewingstorm,Brewing Storm,1,Focus,Lightning,,,"Enemies take 1x Focus SkillType.Lightning damage every turn, but costs MP.",,
burn,Burn,0.35,Focus,Fire,,,Deals 0.35x Focus SkillType.Fire damage immediately and over time for 3 turns. Max 3 stacks.,Refreshes all stacks on hit,Max 5 stacks
carnage,Carnage,,,,all allies,,All allies gain 50% turn progress and instability increases. Enemies are confused and gain 100% increased Power.,,
channel,Channel,,,,,,Channeling the power of the Ancient. Releases a powerful spell if not interrupted by damage.,Channeling the power of the Ancient. Releases a powerful spell if not interrupted by damage.,Channeling the power of the Ancient. Releases a powerful spell if not interrupted by damage.
chaosspores,Chaos Spores,,,,,,Causes debilitating effects to enemy party.,,
contrition,Contrition,1,Focus,Dark,,,Target deals 25% less damage with and takes 1x Focus SkillType.Dark damage after using SkillType.Attack skills. Lasts 5 turns.,,
coresurge,Core Surge,,,,self,,"Grants Free Turn, Doubles POW and SPD, but decreases TGH by 50% and deals 10% max HP self SkillType.Lightning damage. Activates at 50% HP.",,
cryoshot,Cryo Shot,1,Power,Ice,single enemy,,Deals 1x Power SkillType.Ice damage to target enemy.,Non-boss target becomes frozen and cannot act or dodge for 2 turns,Target takes 30-40 piercing SkillType.Ice damage when hit
curse,Curse,,,,,,Target's received healing is decreased by 90% for 2 turns.,Target's received healing is decreased by 90% for 2 turns.,Target's received healing is decreased by 90% for 2 turns.
darkbargain,Dark Bargain,,,,,,"Revives a downed ally, but they take 10% Max HP SkillType.Physical damage over time, and can no longer bleed out.",Ally gains 35% increased Endurance while active,Ally no longer takes SkillType.Physical damage over time
darkestbargain,Darkest Bargain,,,,,,"Revives all downed allies, but they take 10% Max HP SkillType.Physical damage over time, and can no longer bleed out.",,
darkprism,Dark Prism,,,,,,"Target cannot act, buffs are dispelled, SkillType.Healing is converted to SkillType.Dark damage. Lasts 3 turns, or until broken by SkillType.Healing taken.",,
darkshroud,Dark Shroud,,,,,,"Increases ally dodge chance for three turns, while draining MP to restore HP per turn.","Increases ally dodge chance for three turns, while draining MP to restore HP per turn.","Increases ally dodge chance for three turns, while draining MP to restore HP per turn."
devour,Devour,,,,single enemy,,"Deals SkillType.Physical damage. Pulls an enemy inside Sin, where it loses HP over time until it is digested or broken out.",,
dokunoken,Dokunoken,1.5,POW,Physical,single enemy,,Deals 1.5x POW SkillType.Physical damage to target row. Targets take 1.5x POW SkillType.Physical and SkillType.Poison damage per turn for 2 turns. Cannot be resisted.,,
dragunder,Drag Under,,,,single enemy,,"Deals SkillType.Physical and SkillType.Stun damage. Pulls an enemy under the water, where it takes SkillType.Physical damage over time until it is digested or broken out.",,
