category,term,definition
attributes,Attributes,Attributes determine the strength and weakness of a character. Hero attributes will vary somewhat from mission to mission.
attributes,EffectIcon.power_up Power,Power determines the damage done by physical attacks. Most melee attacks use Power.
attributes,EffectIcon.toughness_up Toughness,"Toughness is physical resistance. It reduces damage taken from SkillType.Physical  SkillType.Poison and SkillType.Sonic attacks, and partially reduces damage from SkillType.Fire SkillType.Ice and SkillType.Lightning attacks."
attributes,EffectIcon.endurance_up Endurance,"Endurance determines maximum HP. If endurance is modified in battle, the character's current HP will be adjusted to a matching percentage of max HP."
attributes,EffectIcon.focus_up Focus,Focus determines damage done by non-physical attacks. Most spells and utility attacks use Focus.
attributes,EffectIcon.discipline_up Discipline,"Discipline is non-physical resistance. Discipline reduces damage taken from SkillType.Holy SkillType.Dark and SkillType.Energy attacks, and partially reduces damage from SkillType.Fire SkillType.Ice and SkillType.Lightning attacks."
attributes,EffectIcon.wisdom_up Wisdom,"Wisdom determines maximum MP. If wisdom is modified in battle, the character's current MP will be adjusted to a matching percentage of max MP."
attributes,EffectIcon.speed_up Speed,Speed determines how often a character can act in battle. A high-speed character will gain turn progress more quickly than a low-speed character.
attributes,EffectIcon.agility_up Agility,"Agility increases the chance of evading attacks, and reduces the chance of being critically hit."
attributes,EffectIcon.technique_up Technique,Technique increases the chance of landing attacks and the chance that they will be a critical hit.
attributes,Attribute Caps,"After an attribute is increased by more than 100% of base, additional increases will have less and less effect."
basics,Sprite.particle_icon Quinn Particles,"Particles are the basic currency of Time Break Chronicles, and manifest objects in its universe."
basics,"Particles are earned every time you enter a portal during a mission, and are gathered passively by rescued allies in town while you adventure.","They can be used to purchase items from Vending Machines, upgrade your town, and power Time Break Techs."
basics,Mission Failure,"A mission is failed if all of your allies are dead or downed at the same time, not including summons."
basics,"Any particles collected in the mission will be lost forever. However, you will still recover skill books and relics you collected during the mission.",*Mission Success
basics,"Defeating the final boss in a mission will allow you to return to town with all the relics, skill books, and particles you have collected during the mission.",*Time Break Techs
basics,Time Break Techs are very powerful skills that can turn the tide of a battle.,"Any hero may use a Time Break tech, but instead of MP, these skills require particles to power. The more you use a tech during a mission, the more particles it will cost."
basics,Stamina,"As you traverse through portals in a mission, heroes other than Claire will lose stamina."
basics,"Lowered stamina will result in reduced attributes for the affected hero. Stamina can be restored with certain items, or by resting at a camp site.",*Bleed Out
basics,"If a hero loses all of their HP, they will be Downed and will begin to bleed out, with a countdown of 3 turns.","However, you still have a chance to save them. You can revive them by using an item or revive skill. They will also be automatically revived if you win the battle before the countdown ends."
basics,"If the countdown reaches zero, the hero will die and be removed from your party for the mission.","Claire will not bleed out. As long as other heroes are alive, she will be revived if you win the battle."
