class_id,skills,fight_skill,defend_skill,traits,n_skills
angel,chastise;holyblast;holyshield;mend;safeguard;salvation,chastise,salvation,ascension;divinevoice,6
assassin,ambush;execute;kunai;track;wound,,,merciless;opportunist;senseweakness,5
banker,bankrupt;bash;laugh;loan;shakeoff,bash,laugh,debt;financialcrisis;interest,5
banshee,fade;mourn;possession;screech;wail,screech,mourn,incorporeal;manifestation;shriek,5
barbarian,cleave;intimidate;overpower;recklessattack,recklessattack,,ancestralbond;primalroar;rage;thickskin,4
bard,bash;hide;lute;stumble;support,bash,lute;support,coward;inspirational;masterofsong,5
beastmaster,direct;givetreat;menagerie;stampede;whip,whip,menagerie,alphawill;beasttrainer;packleader,5
biker,breakbones;haymaker;hellride;pummel;taunt;whiskey,,taunt,boozer;fightingspirit,6
blacksmith,cauterize;pummel;shakeoff;smash;smithingtools,,,artisan;forgeborn;sturdyframe,5
blood_zealot,bloodessence;bloodshield;coagulate;drainlife;sacrifice,,sacrifice,phylactery;scarredflesh;taintedblood,5
bokor,darkwords;desecrate;haunt;hex;sleepbomb;spiritwalk,hex,,devouringsoul;merciless,6
boxer,adrenalinerush;block;hook;jab;shakeoff;uppercut,jab,block,combohitter;counter,6
brawler,beatdown;bodyblows;clobber;headbutt;taunt,clobber,taunt,heavyweight;leadfists;resolve,5
cactus,bloom;needlebarrage;needlevolley;swipe;takeroot,,takeroot,aliendna;neurotoxin;sharpneedles,5
caveman,ambush;bash;headbutt;tarpit;throwspear,bash,,biggamehunter;sabertooth;thickskull,5
chef,hide;preparefood;servemeal;soulflay;throwknife,,,culinaryarts;heartymeal;thickskin,5
chemist,hide;mix;painkillers;patenteduse;support,,mix;support,autopotion;medicaldegree;pharmaceuticals,5
cleric,bash;consecrate;flashheal;holyshield;lastrites,bash,,blessedmace;holywrit;shieldoffaith,5
clown,balloon;clownhammer;piegun;prank;stumble,clownhammer,balloon,comicrelief;honk;nuisance,5
combat_bot,harmbeam;killbeam;overclock;selfrepair,harmbeam,overclock,autodestroy;legacycode;robotic;surgeprotector,4
cop,callforbackup;pistol;protect;shotgunblast;stungun,pistol,protect,firstresponder;incorruptible;serve,5
cyborg,arsenal;selfrepair;shakeoff;weaponsplatform,weaponsplatform,arsenal,cybernetics;reservebattery;targetingsystems;titaniumbones,4
dark_knight,crusharmor;drainlife;eclipse;gather;seversoul,,,darkblade;nullify;souleater,5
devil,banish;bargain;darkwords;fireball;hellclaws;instruct,,instruct,darkmandate;devilsmark,6
diva,healingaria;loverstrance;screech;taunt,screech,taunt,heartbreaker;hypnoticpresence;nuisance;vocaltraining,4
doctor,callnurse;icu;malpractice;prescribe;treat,treat,prescribe,directbilling;insurance;medicaldegree,5
druid,astralmagic;gaiasembrace;meditate;naturemagic;starfury;support,,meditate;support,astralaffinity;natureaffinity,6
dryad,arborealaid;charm;healingwisp;hide;vinespear,,charm,ageless;enchantspear;vinearmor,5
fallen_angel,fatalspear;flight;guardstrike;holyshield;penance,,penance,fallengrace;mortalsin;shieldoffaith,5
fire_mage,emberbolt;fireblast;flamejet;flameshield;meltarmor,,flameshield,combust;flashfire;overheat,5
fire_spirit_big,burningfist;cauterize;fireball;flamejet,,,endlessembers;forgeborn;infernalspirit;readomen,4
firefighter,chop;firehose;inspire;whiskey,chop,,firesafety;heroism;sturdyframe,4
gambler,cardthrow;jinx;rolldice;setdice;stungrenade,cardthrow,rolldice,acrobatics;gamblersluck;ninelives;quickhands,5
general,command;mark;strategize;supplydrop,mark,command,bunker;conscription;tacticaladvantage;undeterred,4
genius,displacement;laserpistol;medkit;transform,laserpistol,transform,quantummechanics;stringtheory,4
genius_frozen,icicle;snowdrone;transform,icicle,transform,coolingsystems;flashfreeze,3
genius_hacker,hack;reprogram;smartpistol;transform,smartpistol,transform,firewall;ram,4
genius_inscriber,analyze;arcaneglyphs;elementalmagic;transform;wizzardrone,analyze,transform,masterofmagic,5
genius_occultist,rake;ritual;transform,rake,transform,darkguest;demonology;undeterred,3
genius_scavenger,burningfist;timedcharge;transform;wrench,wrench,transform,demolition;engineering;junkarmor;scavenge,4
genius_tank,powerfist;reflectorshield;transform,powerfist,transform,adaptivearmor;hydraulicsuit;lifesupportsystem,3
gladiator,disengage;gladius;javelin;rete,gladius,disengage,ironwill;martialprodigy;parmula;vitality,4
golem,bash;protect;spellscreen,bash,protect,enchantedcore;inorganic;protectionrunes;runicstones;rupture,3
gunslinger,combatroll;leadstorm;overwatch;peace;war;warmonger,war,peace,acrobatics;deadeye,6
guru,doomprophecy;faithhealing;nirvana;spiritshield,doomprophecy,nirvana,mantra;pacifist;samadhi;thirdeye,4
hellbinder,bindingritual;implosion;orderimp;soultap,orderimp,,guardimp;hellishvigor;impetus;sulfuricresidue,4
ice_mage,blizzard;breakice;chill;frostshield;icespike;meditate,chill,meditate,frigidarmor;frostbite,6
immortal,adrenalinerush;bulwark;charge;guardstrike;impale,,,imperialguard;rallyingpresence;replacement,5
inquisitor,dominatemind;imperative;invigorate;strikefear,strikefear,imperative,fortify;psionicshield;thegreatergood;venerated,4
inventor,directive;enfeeblingray;freezeray;invent;tinker,,invent,devicerefits;haywireprotocol;killbot,5
jackal,drawsoul;entomb;locustswarm;sandstorm;spiritshield,locustswarm,,guidesouls;spiritnexus;weighheart,5
jaguar,cleave;pounce;rake;shakeoff;stalk,rake,,bloodthirsty;macuahuitl;predator,5
jester,anthem;fanofblades;juggle;throwblade,throwblade,juggle,acrobatics;concealedblades;entertainer;erratic,4
judge,allrise;gavel;injunction;judgment;restrainingorder;subpoena,gavel,subpoena,airofauthority;erudite,6
juggernaut,charge;hyperbeam;ionblast;kineticbarrier,ionblast,kineticbarrier,meltdown;nuclearbattery;powerarmor;poweredservos,4
keekuko,shinymagic;timesavant;yoink,shinymagic,yoink,fickle;interdimensional;lootgoblin;owntempo;vendor,3
knight,guardstrike;joust;protect;shieldbash,,protect,chivalry;honor;undeterred;valor,4
lawbringer,duel;observe;posse;protect;revolver;shakeoff,revolver,protect,justice;lawman,6
lich,devoursoul;spellbook;terrify;wither,wither,spellbook,cantrip;desiccated;manashield;soulless,4
linebacker,blitzstance;hypeup;tackle;taunt;zonedefense,,taunt,athletictraining;footballpads;trashtalk,5
lizardman,ambush;hibernate;thrash;venombite,,,mutatingdna;predator;shedskin;snapback,4
lumian,blind;energize;energywave;lightbeam,lightbeam,blind,brilliance;energybody;flickering;luminous,4
maelstrom,chainlightning;concentrate;lightning;stasisnet,lightning,concentrate,chaosstorm;mentalfortress;unstablegenerator;volatilecapacitor,4
magician,dazzle;grandfinale;hypnotize;illusion;suggestion,dazzle,hypnotize,mentalist;sleightofhand;stagepresence,5
marine,airstrike;ambush;grenade;m16;smokegrenade,m16,,coveringfire;firsttofight;specialist,5
med_bot,healbeam;revivebeam;selfrepair;standby,,standby,autoaid;mun8;robotic;surgeprotector,4
medic,amputate;medkit;shoot;suppressingfire;syrette,shoot,,emergencycare;noncombatant;squadsupport,5
mime,invisiblewall;mimicry;prank;pullrope;stumble,,,entertainer;mimemaster;stunningmockery,5
monk,chakra;flurry;fourpillars;meditate;zentrance,flurry,meditate;zentrance,acrobatics;counter;innerpeace,5
morph,assigntarget;martialdb;regenerate;slash,slash,,imitation;liquidmetal;reform;relentless,4
musketeer,coupdegras;disarm;lunge;protect,lunge,protect,acrobatics;allforone;engarde;oneforall,4
necromancer,curse;deathshroud;drainlife;gravescall;ritual,,,deathsembrace;paleservants;undyingsoul,5
ninja,disarm;hide;ninjatools;shuriken;sweepkick,shuriken,,acrobatics;envenom;subterfuge,5
paladin,block;divineshield;holywrath;layonhands;oathofjustice;oathofprotection;oathofrestoration;smite,smite,block,devotion;sacredduty,8
pioneer,aimedshot;ambush;beartrap;prepare;shoot;track,shoot,prepare,blackpowder;survivalist,6
pirate,gunplay;plunder;rum;swordplay,swordplay,gunplay,acrobatics;adaptable;merciless;warmglow,4
pixie,fairycurse;fairykiss;flit;pixiedust,pixiedust,flit,faemagic;mischievous;naturesshroud;spritely,4
plague_doctor,amputate;bloodlet;buboburst;healingvapors;incision,,bloodlet,plague;plaguebearer;resistant,5
priestess,blessing;cleanse;healingword;hide;pray;renewal,pray,blessing,humility;piety,6
pursuer,ambush;pr3dmissile;smokegrenade;track;wristlaser,wristlaser,,claimbounty;markedtarget;merciless,5
raider,boomkit;chainsaw;shotgunblast;unload,,,erratic;merciless;scavenge;wasteborn,4
ranger,eagleeye;pincushion;quickshot;sicem;splitarrow,quickshot,,cana;snakebitecoating;strikeasone,5
rocker,ampitup;jam;mosh;powerballad;smash,,jam,battleaxe;undeterred;whammybar,5
rune_scribe,imbuerune;refresh;shaperune;shatter;spellscreen,,,arcanewisdom;infusedrobe;runecarving,5
samurai,bulwark;katana;seversoul;spiritshield;swordspirit,katana,,counter;iaido;lucidmind,5
sasquatch,bash;charge;enrage;toss,bash,toss,bestialrage;lonewolf;sturdyframe;thickfur,4
secret_service,aimedshot;disarm;hide;protect,,protect,bodyguard;detectthreats;faceless;returnfire,4
sentinel,edict;energylance;forcefield;meditate,,meditate,infinitygenerator;matrixcapacitor;staffofsupremacy;unleashforce,4
sentrybot,alarm;minilaser;motiontracker;taunt,minilaser;motiontracker,taunt,defenseprotocols;rogueai;shortcircuit;threatscanner,4
shaman,commune;meditate;spiritshield;spiritwalk,,meditate,dualityofbeing;readomen;shamanicpath;spiritchanneling,4
siren,arcticjet;drown;healingrain;lullaby;splash;support,splash,support,hypnoticpresence;submerge,6
snake_charmer,charm;pirouette;snakeoil;venombite,,charm,acrobatics;dancer;hypnoticpresence;strikeback,4
space_marine,cryogrenade;dronelauncher;personalshield;pulsegrenade;pulserifle,pulserifle,personalshield,durataniumarmor;fireteam;xenohunter,5
spellblade,arcaneconduit;feedback;runestrike;shatter;spellscreen;truestrike,runestrike,,enchantedblade;spellrefraction,6
steam_lord,gadgetkit;steammech;stokefire;upgrade;ventsteam,gadgetkit,upgrade,analysisgoggles;ingenuity;steamtanks,5
super_soldier,dropkick;frenzy;grenadepunch;shakeoff,,frenzy,alteredgenes;bloodrage;protonetics;r3gnx,4
undead,boneshield;falchion;guardstrike;rekindle;throwskull,falchion,boneshield,extinguishedsoul;reassemble;undeadcurse,5
vampire,batswarm;charm;darkbond;exsanguinate;vampirebite,vampirebite,charm,ageless;bloodline;bloodthirsty,5
vampire_hunter,autocrossbow;bloodtrance;huntertools;stakebolt,,bloodtrance,anatomicalstudy;bloodline;daywalker;senseweakness,4
viking,battlecry;frenzy;throwaxe;thunderhammer,,frenzy,berserker;bloodrage;merciless;raider,4
vul,lunge;retreat;vulstaff;wintersgift,lunge,retreat,acrobatics;hunterstance;thickfur;tranquilstance,4
witch,cauldron;charm;curse;lovepotion;reagents;ritual,,charm,darkarts;witchcraft,6
wolfman,chop;howl;whiskey,chop,,midnightcurse;sturdyframe;survivalist;wolfblood,3
wraith,ambush;mirrorimage;phantomcut;stasisnet;wraithstrike,wraithstrike,,cloakingmodule;exosuit;senseweakness,5
wrestler,clothesline;dropkick;finisher;pander;shakeoff;taunt,clothesline,taunt,feud;nosell,6
yakuza,dragonblade;dragonrush;extort;intimidate;protect,dragonblade,protect,chivalry;racketeer;uzi,5
