skill_id,codename,name,short_name,category,n_levels,level_1,level_2,level_3,level_4,level_5,param,text_source,computation,n_modifiers,mod_summary
absorb,Absorb,Absorb,-,enemy,1,"Absorbs an adjacent ally and gains 100% of their Endurance, Toughness, Power, and HP.",-,-,-,-,[0.8],pool,base_skill,1,stat_gain×1
absorbsoul,AbsorbSoul,Absorb Soul,Absorb Soul,enemy,1,"Deals 0.75x Focus SkillType.Dark damage to target, heals the caster, gives self a focus bonus, and reduces target's healing received.",-,-,-,-,[0.1;0.2;0.25;0.4;0.5;0.6;0.8;0.9;1.35;2.0;2.25],json,base_skill,2,damage×1;heal×1
accelerate,Accelerate,Accelerate,-,drone,1,Grants an ally a free turn.,-,-,-,-,[0.2;0.4;0.6;1.0],pool,base_skill,1,grant×1
acidcloud,AcidCloud,Acid Cloud,-,defend,2,Deals 0.33x Focus SkillType.Poison damage over time for 3 turns. Stackable. Cannot miss.,Deals 0.3x Focus SkillType.Poison damage over time for 3 turns.,-,-,-,-,pool,base_skill,4,damage×2;status×2
acidspray,AcidSpray,Acid Spray,Acid Burn,root,3,Deals 0.6x Focus SkillType.Poison and SkillType.Fire damage. Uses all Newt Eye and Toad Cap.,Targets lose 1 dispellable SkillType.Buff for each Toad Cap,Gains 25% piercing for each Newt Eye,-,-,[0.25;0.35;0.4;0.5;1.5;2.0;2.5],pool,,2,damage×1;status×1
acidvial,AcidVial,Acid Vial,-,inventions,1,Deals 75-125 SkillType.Poison damage for 5 turns. Always hits.,-,-,-,-,-,pool,,2,damage×1;status×1
activate,Activate,Activate,-,enemy,1,Restores MP of summon and gives them a free turn.,-,-,-,-,[0.5],pool,base_skill,1,summon×1
adrenalinerush,AdrenalineRush,Adrenaline Rush,Adren. Rush,root,3,Bonus Action. Staggers 50% of damage taken until next turn.,Increases Power by 50%,Increases Toughness by 50%,-,-,-,json,,3,stat_mod×2;damage×1
advance,Advance,Advance,Advance,fight,3,Target ally's turn progress is advanced to 100%.,Target's speed increased by 10% for 3 turns,Target's next skill deals 25% increased damage or healing,-,-,[0.25;0.5;0.8;1.1;3;7],json,base_skill,1,damage×1
aimedshot,AimedShot,Aimed Shot,-,root,2,Deals 2x Power SkillType.Physical damage. Cannot miss. Long turn delay.,25% increased damage,-,-,-,[1.25;2;3],pool,,2,damage×2
airstrike,AirStrike,Air Strike,Air Strk,root,3,Deals 100-125 SkillType.Physical and SkillType.Fire damage to random enemies 4 times. One use. Five turn charge. Cannot miss.,Deals 100-125 SkillType.Physical and SkillType.Fire damage to random enemies 4 times.,50% faster charge rate,-,-,[0.02;0.1;0.25;0.5;1.0;1.5;3;2],pool,,2,damage×2
alarm,Alarm,Alarm,Alarm,root,3,"Grants a random ally a Free Turn. Three turn charge, starts charged.",Increases all allies' Speed by 100% for 1 turn,Gain 33% charge if an enemy is summoned mid-battle,-,-,[0.2;0.4;0.5;0.6;1.0;3],json,,1,grant×1
allrise,AllRise,All Rise,-,root,3,Fully heal all allies. One use.,Dispel all SkillType.Debuff,Revives all downed allies,-,-,[0.4;0.9;3;2],pool,,1,heal×1
altreality,AltReality,Alt Reality,-,enemy,1,Experiencing an alternate reality. Can only Wobble.,-,-,-,-,[0.2;0.25;0.35;1.0;1.25;1.5],pool,base_skill,0,
ambush,Ambush,Ambush,Ambush,root,3,Next skill deals 60% increased damage. Cannot be targeted by enemies.,Increases Technique by 25%,Increases critical damage by 120%,-,-,[0.15;0.25;0.5;0.6;0.8;1.0;1.2;1.25;2;3;5],json,,3,damage×2;stat_mod×1
ampitup,AmpItUp,Amp it Up,Amp it Up,root,3,Increases SkillType.Sonic damage by 35% for 5 turns. One use.,Decreases turn delay for SkillType.Sonic skills,Automatically use at battle start,-,-,[0.25;0.3;0.35;0.65;0.75;1.0;2.0;2],json,,1,damage×1
