skill_id,name,category,level,mod_type,target_stat,value,element
absorb,Absorb,enemy,1,stat_gain,Endurance,100%,
absorbsoul,Absorb Soul,enemy,1,damage,Focus,0.75,Dark
absorbsoul,Absorb Soul,enemy,1,heal,,,
accelerate,Accelerate,drone,1,grant,,,
acidcloud,Acid Cloud,defend,1,damage,Focus,0.33,Poison
acidcloud,Acid Cloud,defend,1,status,Poison,3turn,
acidcloud,Acid Cloud,defend,2,damage,Focus,0.3,Poison
acidcloud,Acid Cloud,defend,2,status,Poison,3turn,
acidspray,Acid Spray,root,1,damage,Focus,0.6,Poison;Fire
acidspray,Acid Spray,root,1,status,Poison,,
acidvial,Acid Vial,inventions,1,damage,,,Poison
acidvial,Acid Vial,inventions,1,status,Poison,5turn,
activate,Activate,enemy,1,summon,,,
adrenalinerush,Adrenaline Rush,root,1,damage,,,
adrenalinerush,Adrenaline Rush,root,2,stat_mod,Power,+50%,
adrenalinerush,Adrenaline Rush,root,3,stat_mod,Toughness,+50%,
advance,Advance,fight,3,damage,,,
aimedshot,Aimed Shot,root,1,damage,Power,2,Physical
aimedshot,Aimed Shot,root,2,damage,,,
airstrike,Air Strike,root,1,damage,,,Physical;Fire
airstrike,Air Strike,root,2,damage,,,Physical;Fire
alarm,Alarm,root,1,grant,,,
allrise,All Rise,root,1,heal,,,
ambush,Ambush,root,1,damage,,,
ambush,Ambush,root,2,stat_mod,Technique,+25%,
ambush,Ambush,root,3,damage,,,
ampitup,Amp it Up,root,1,damage,,,Sonic
analyze,Analyze,fight,2,damage,,,
annihilate,Annihilate,enemy,1,damage,Power,1,Energy
anthem,Anthem,root,2,damage,,,
arcaneconduit,Arcane Conduit,root,2,damage,,,Spell
arcaneconduit,Arcane Conduit,root,3,damage,Focus,1,Energy
arcticjet,Arctic Jet,root,1,damage,Focus,1.5,Physical;Ice
arcticjet,Arctic Jet,root,2,damage,Focus,1.5,Physical;Ice
armchainlaser,Arm Chain Laser,defend,1,damage,,,Energy
armchainlaser,Arm Chain Laser,defend,2,damage,,,Energy
armflamethrower,Arm Flmthrower,defend,1,damage,,,Fire
armflamethrower,Arm Flmthrower,defend,2,damage,,,Fire
armmissilepod,Arm Missile Pod,defend,1,damage,,,Physical
armmissilepod,Arm Missile Pod,defend,2,damage,,,Physical
armrailcannon,Arm Rail Cannon,defend,1,damage,,,Physical
assigntarget,Assign Target,root,1,damage,,,
astralmagic,Astral Magic,root,1,grant,,,
autocrossbow,Auto Crossbow,root,1,damage,Power,0.65,Physical
autocrossbow,Auto Crossbow,root,2,damage,Power,0.75,Physical
autocrossbow,Auto Crossbow,root,3,damage,,,
autocrossbow,Auto Crossbow,root,4,damage,,,
backhand,Backhand,enemy,1,damage,,,Physical;Stun
backhand,Backhand,enemy,1,status,Stun,,
ballad,Ballad,root,3,damage,,,
balloon,Balloon,defend,1,damage,,,
balloon,Balloon,defend,1,heal,,,
balloon,Balloon,defend,2,damage,,,Stun
balloon,Balloon,defend,2,status,Stun,,
bankrupt,Bankrupt,root,1,damage,,,
bankrupt,Bankrupt,root,2,damage,,,
bankrupt,Bankrupt,root,3,damage,,,
bargain,Bargain,root,2,damage,,,
barkskin,Barkskin,root,1,damage,,,Physical
barricade,Barricade,enemy,1,damage,,,Physical
bash,Bash,fight,1,damage,Power,1.35,Physical;Stun
bash,Bash,fight,1,status,Stun,,
bash,Bash,fight,2,damage,,,Stun
bash,Bash,fight,2,status,Stun,,
bash,Bash,fight,3,damage,,,Physical
batsfur,Bat's Fur,root,1,damage,,,Dark
battlecry,Battle Cry,root,3,heal,,,
bearswat,Bear Swat,root,1,damage,Power,1.33,Physical
bearswat,Bear Swat,root,2,damage,,,Physical
beartrap,Bear Trap,root,2,damage,,,Physical
beatdown,Beat Down,root,1,damage,Power,0.6,Physical
beatdown,Beat Down,root,2,damage,Power,0.6,Physical
beatdown,Beat Down,root,3,damage,Power,0.6,Stun
beatdown,Beat Down,root,3,status,Stun,,
belch,Belch,enemy,1,damage,Focus,1,Poison
belch,Belch,enemy,1,status,Poison,,
bigslam,Big Slam,enemy,1,damage,,,Physical;Stun;Poison
bigslam,Big Slam,enemy,1,status,Stun,,
bigslam,Big Slam,enemy,1,status,Poison,,
binddarkimp,Bind Dark Imp,root,1,status,Channel,,
bindmageimp,Bind Mage Imp,root,1,status,Channel,,
bindredimp,Bind Red Imp,root,1,status,Channel,,
biobomb,Biobomb,root,1,damage,,,Poison
biobomb,Biobomb,root,1,status,Poison,5turn,
biobomb,Biobomb,root,3,damage,,,
blazingslam,Blazing Slam,enemy,1,damage,,,Fire;Poison
blazingslam,Blazing Slam,enemy,1,status,Poison,,
blessedwater,Blessed Water,root,1,damage,,,Holy
blind,Blind,defend,1,damage,,,
blitzstance,Blitz Stance,root,1,damage,Speed,0.5,
blitzstance,Blitz Stance,root,2,stat_mod,Technique,+35%,
blizzard,Blizzard,root,1,damage,Focus,0.5,Ice
block,Block,defend,1,damage,,,Attack
block,Block,defend,2,damage,,,
block,Block,defend,3,damage,,,
bloodessence,Blood Essence,root,1,heal,,,
bloodessence,Blood Essence,root,2,stat_gain,healing done,10%,
bloodlet,Bloodlet,defend,1,damage,,,Physical;Debuff
bloodlet,Bloodlet,defend,2,damage,,,
bloodlet,Bloodlet,defend,2,heal,,,
bloodlet,Bloodlet,defend,3,damage,,,
bloodshield,Blood Shield,root,1,damage,Focus,2.5,
bloodshield,Blood Shield,root,2,damage,,,
bloodshield,Blood Shield,root,3,stat_gain,current HP when cast,10%,
bloodshield,Blood Shield,root,3,status,Shield,,
bloodsuck,Bloodsuck,enemy,1,damage,Power,1.0,Physical
bloodtrance,Blood Trance,defend,1,damage,,,Attack
bloodtrance,Blood Trance,defend,2,damage,,,Attack
bloodtrance,Blood Trance,defend,2,heal,,,
bloom,Bloom,root,2,heal,,,
boarspirit,Boar Spirit,root,1,summon,,,
boarspirit,Boar Spirit,root,2,damage,,,
boast,Boast,enemy,1,stat_mod,Focus,+15%,
bodyblows,Body Blows,root,1,damage,Power,0.75,Physical
boltgun,Boltgun,root,1,damage,MP,0.66,Physical
bombpunch,Bomb Punch,enemy,1,damage,Focus,1,Fire
boneshield,Bone Shield,defend,1,damage,Toughness,2.5,
boneshield,Bone Shield,defend,2,damage,Toughness,1,Physical
boneshield,Bone Shield,defend,3,damage,,,Physical
bramblebulwark,Vine Guard,enemy,1,damage,,,
