Skill Name,Effect,,,Shared Effect,,Relic
,Target,Cost,Description,Skill 1,Skill 2,
Laser Pistol,Single - Any,-,"Level 1: Deal 1x Focus [Energy] damage to target
Level 2: Also deals 0.3x Focus [Fire] Damage
Level 3: Decreases Target Technique by 20% for 3 Turns",-,-,-
Quantum Mechanics,Passive,-,"Level 1: Gain a free turn when using transform.
Level 2: Decreases the turn delay after Transform
Level 3: Increases Speed by +10 every turn",-,-,-
String Theory,Passive,-,"Level 1: Refunds 33% of Particles used for Time Break techs
Level 2: Less turn delay after Time Break techs
Level 3: One free Time Break per battle",-,-,-
Displacement,Single - Melee,-,"Level 1: Swap position and grant ally a Free Turn. Charges over time.
Level 2: Automatically Support target
Level 3: Decreased turn delay",-,-,-
Powerfirst,Single - Melee,36,"Level 1: Deals 1x Power [Physical] damage. Shift to front row.
Level 2: Deals 25% more damage in front row.
Level 3: Hits enemy behind target for 0.6x Power",Lunge,-,-
Life Support System,Passive,-,"Level 1: Regenerate 10% of missing HP at the start of every turn.
Level 2: Removes one debuff
Level 3: Lingers when using Transform",-,-,-
Adaptive Armor,Passive,-,"Level 1: Decreases damage from the highest damage type taken by 35%
Level 2: Gain turn progress when taking damage, based on damage dealt
Level 3: Adds up to highest damage taken to [Attack] hits",-,-,-
Hydraulic Suit,Passive,-,"Level 1: Increase Power by +25 for each [Attack] use.
Level 2: 50% increased chance to hit with [Attack] skills
Level 3: Reduce turn delay with [Attack] skill by 35%",-,-,-
Reflector Shield,Self,-,"Level 1: Uses MP to reflect [Ranged] damage at enemies. Can be Toggled.
Level 2: Automatically activates after Transform
Level 3: Drains 65% less MP",-,-,-
Wrench,Single - Melee,-,"Level 1: Deals 1x Power [Physical] damage to target.
Level 2: Damage increased by 35%
Level 3: Deals critical damage to Mechanical enemies",-,-,-
Scavenge,Passive,-,"Level 1: Up to 50% chance to restore one [Gadget] use when an enemy is Downed. Decreased chance each trigger.
Level 2: Restore Ally [Gadget] use as well
Level 3: Gain an extra item from battle rewards",-,-,-
Demolition,Passive,-,"Level 1: Deal 50% more damage against Mechanical enemies.
Level 2: Increases [Fire] damage dealt by 35%
Level 3: Critical hits deal 25% increased damage",-,-,-
Engineering,Passive,-,"Level 1: Restores [Gadget] skills on Transform.
Level 2: Decreases turn delay of [Gadget] skills by 35%
Level 3: Increases skill level of non-passive [Gadget] skills by +1",-,-,-
Timed Charge,All - Party,-,"Level 1: After two turns, deals 200-250 [Physical] damage to all enemies. One use.
Level 2: Also deals [Stun] damage to enemies
Level 3: Decreased turn delay",-,-,-
Junk Armor,Passive,-,"Level 1: Negates [Physical] damage taken. Three uses.
Level 2: Regain full uses after Transform
Level 3: Restores other [Gadget] skills on use",-,-,-
Icicle,Column - Any,-,"Level 1: Deals 1x Focus [Ice] damage to target.
Level 2: Hits enemies in a column
Level 3: Ignores 50% of target Toughness and Discipline",-,-,-
Cooling Systems,Passive,-,"Level 1: Hits deal an extra 50% [Ice] damage.
Level 2: Applies to allies at half strength
Level 3: Added damage ignores 50% of Toughness and Discipline",-,-,-
Flash Freeze,Passive,-,"Level 1: Once per battle, prevents all damage and heals 50% of HP. Activates when at critical HP. 
Level 2: Deals 0.5x Focus damage when hit by [Attack] skills
Level 3: Grants Free Turn on end",-,-,-
Snow Drone,Self,84,"Level 1: Summon a drone that casts Blizzard. Lasts 3 turns.
Level 2: Drone has 100% increased Speed
Level 3: Drone always hits",-,-,-
Analyze,Single - Any,-,"Level 1: Target's HP, MP, and Attributes become visible in the status menu.
Level 2: Deal 25% increased damage to target
Level 3: Always hit target with skills",-,-,-
Master of Magic,Passive,-,"Level 1: MP cost of [Spell] skills decreased by 50%.
Level 2: Chance to hit with [Spell] skills increased by 50%
Level 3: Skill level of non-passive [Spell] skills increased by +1",-,-,-
Arcane Glyphs,N/A,?,"Level 1: Gain access to Spell modifying Glyph skills. Three uses.
Level 2: Four uses
Level 3: Five uses",-,-,-
Booming,Self,?,"Level 1: Next [Spell] skill this turn deals 25% increased damage/healing to adjacent targets.
Level 2: N/A
Level 3: N/A",-,-,-
Piercing,Self,?,"Level 1: Next [Spell] skill this turn gains 50% more piercing.
Level 2: N/A
Level 3: N/A",-,-,-
Echoing,Self,?,"Level 1: Next [Spell] skill this turn repeats on a second target.
Level 2: N/A
Level 3: N/A",-,-,-
Elemental Magic,Self,?,"Level 1: Access basic Elemental Magic.
Level 2: Elemental Magic spells become level 2.
Level 3: Elemental Magic spells become level 3.",-,-,-
Flame,Single - Any,?,"Level 1: Deals 1.5 Focus [Fire] damage to target enemy. 
Level 2: Always hits with Piercing Glyph
Level 3: Hits adjacent enemies with Booming Glyph",-,-,-
Shock,Single - Any,?,"Level 1: Deals 1.5 Focus [Lightning] damage to target enemy. 
Level 2: Deals critical damage with Booming Glyph
Level 3: Hits an extra adjacent enemy target with Echoing Glyph",-,-,-
Ice,Single - Any,?,"Level 1: Deals 1.5 Focus [Ice] damage to target enemy. 
Level 2: Also deals 1x Focus [Stun] Damage with Echoing Glyph
Level 3: Deals 50% more damage with Piercing Glyph",-,-,-
Wizzar Drone,Self,-,"Level 1: Automatically summon a drone that records usable enemy [Spell] skills, which Claire may then cast.
Level 2: Recorded spells cost 0 MP
Level 3: Recorded spells have 35% reduced turn delay",-,-,-
Rake,Single - Melee,-,"Level 1: Deals 0.45x Power [Physical] damage. Hits 3 times.
Level 2: 50% increased critical hit chance
Level 3: Hits 4 times.",-,-,-
Dark Guest,Passive,-,"Level 1: Deal 1.25x Focus [Dark] damage to a random enemy at start of turn. Cannot miss.
Level 2: Sacrifice 15% current HP and gain Demon Shield at start of turn
Level 3: Dispel 1 [Buff] effect on target for each hit with skills",-,-,-
Demonology,Passive,-,"Level 1: Deal 25% increased damage against Demon and Boss enemies.
Level 2: Damage always critical against Demon and Boss
Level 3: Damage gains 35% piercing against Demon and Boss",-,-,-
Undeterred,Passive,-,"Level 1: Increases all attributes by 10% for every active [Debuff] on you.
Level 2: Heal for 8% Max HP when hit by a [Debuff]
Level 3: Attributes cannot be reduced below base",-,-,-
Ritual,Single - Any,36,"Level 1: Deals 1x Focus [Dark] damage and heals all allies based on damage dealt.
Level 2: Heals twice as much
Level 3: Heals three times as much",-,-,-
Smart Pistol,Single - Any,-,"Level 1: Deals 25-40 [Physical] damage 3 times. Damage cannot miss this target until after Claire's next turn. Reload after 3 uses.
Level 2: Lasts through 2 turns
Level 3: Follow-up [Ranged] damage is always a critical hit",-,-,-
